data_structure,time,D,k,N
kdTree,42733,7,5,100
kdTree,67166,7,10,100
kdTree,101857,7,20,100
kdTree,152024,7,50,100
kdTree,205240,7,100,100
kdTree,88244,7,1,1000
kdTree,194650,7,2,1000
kdTree,327163,7,5,1000
kdTree,484200,7,10,1000
kdTree,678177,7,20,1000
kdTree,958831,7,50,1000
kdTree,1341138,7,100,1000
kdTree,284171,7,1,10000
kdTree,639561,7,2,10000
kdTree,1129311,7,5,10000
kdTree,1753664,7,10,10000
kdTree,2560505,7,20,10000
kdTree,3718829,7,50,10000
kdTree,5264790,7,100,10000
kdTree,646769,7,1,100000
kdTree,1501848,7,2,100000
kdTree,2706277,7,5,100000
kdTree,4265973,7,10,100000
kdTree,6322909,7,20,100000
kdTree,9392540,7,50,100000
kdTree,13646020,7,100,100000
